 Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,Dylan Carey,22,UNL,NCAA,,39,183,164,37,64,12,2,12,51,7,2,12,33,.390,.448,.707,1.155,116,4,6,0,1,1,player.fcgi?id=carey-000dyl
2,Will Gasparino,21,ULA,NCAA,,38,176,145,42,51,5,1,15,49,2,2,21,33,.352,.449,.710,1.159,103,3,7,0,3,2,player.fcgi?id=gaspar002wil
3,Mulivai Levu*,21,ULA,NCAA,,39,193,164,42,57,8,1,10,46,2,1,17,19,.348,.440,.591,1.032,97,3,11,0,1,1,player.fcgi?id=levu--000mul
4,Michael Anderson,22,PSU,NCAA,,36,169,136,33,51,9,1,16,44,1,0,19,21,.375,.491,.809,1.300,110,4,13,0,1,2,player.fcgi?id=anders017mic
5,Drew Smith,23,UOR,NCAA,,39,169,142,35,53,6,2,13,44,3,3,20,34,.373,.461,.718,1.179,102,2,4,2,1,3,player.fcgi?id=smith-006dre
6,Roch Cholowsky,21,ULA,NCAA,,39,196,148,49,48,9,0,13,43,1,0,23,26,.324,.459,.649,1.108,96,3,19,0,6,2,player.fcgi?id=cholow000roc
7,Ryan Costello*,20,UMD,NCAA,,33,160,130,26,35,8,0,13,43,0,0,26,18,.269,.400,.631,1.031,82,1,3,0,1,0,player.fcgi?id=costel005rya
8,Sam Flores*,22,PUR,NCAA,,39,181,154,42,58,13,0,9,43,8,1,18,30,.377,.459,.636,1.095,98,1,7,0,2,0,player.fcgi?id=flores000sam
9,Dane Harvey*,21,OSU,NCAA,,32,137,117,19,36,9,0,12,41,0,1,8,30,.308,.372,.692,1.065,81,1,7,0,5,1,player.fcgi?id=harvey003dan
10,Randy Seymour,22,MSU,NCAA,,37,164,152,27,43,7,1,14,41,2,2,6,40,.283,.329,.618,.948,94,2,5,0,1,2,player.fcgi?id=seymou000ran
11,Charlie Sutherland*,21,UMN,NCAA,,39,174,138,34,40,9,2,8,40,12,1,25,26,.290,.419,.558,.977,77,0,7,2,2,0,player.fcgi?id=suther000cha
12,Jake Hanley*,20,INU,NCAA,,40,189,157,39,53,11,0,11,39,0,0,27,38,.338,.429,.618,1.046,97,2,1,0,4,0,player.fcgi?id=hanley000jak
13,Roman Martin,21,ULA,NCAA,,39,192,151,37,50,11,1,6,39,0,1,35,35,.331,.469,.536,1.005,81,4,5,0,1,0,player.fcgi?id=martin008rom
14,AJ Putty,--,UIL,NCAA,,38,176,150,29,50,11,1,7,39,3,0,21,34,.333,.409,.560,.969,84,3,1,0,4,2,player.fcgi?id=putty-000aj-
15,Jett Buck,23,UNL,NCAA,,39,179,153,36,50,11,0,7,37,6,1,13,41,.327,.402,.536,.938,82,1,9,0,4,1,player.fcgi?id=buck--000jet
16,Payton Brennan*,23,ULA,NCAA,,39,185,152,30,38,6,0,7,36,6,2,18,46,.250,.370,.428,.797,65,3,12,1,2,0,player.fcgi?id=brenna000pay
17,Weber Neels,23,UMN,NCAA,,38,173,136,37,46,7,0,9,36,5,2,18,19,.338,.439,.588,1.028,80,0,12,0,7,0,player.fcgi?id=neels-000web
18,Case Sanderson*,22,UNL,NCAA,,40,192,147,43,53,10,1,5,36,4,1,32,43,.361,.500,.544,1.044,80,1,11,0,2,0,player.fcgi?id=sander000cas
19,Kevin Takeuchi,21,USC,NCAA,,41,180,153,37,48,10,3,3,36,9,1,19,24,.314,.385,.477,.863,73,4,2,1,5,0,player.fcgi?id=takeuc000kev
20,Mason Eckelman*,21,OSU,NCAA,,36,165,133,28,39,9,2,5,35,2,1,25,24,.293,.418,.504,.922,67,3,5,0,2,1,player.fcgi?id=eckelm000mas
21,Augie Lopez*,21,USC,NCAA,,36,140,122,26,34,8,0,13,35,1,0,14,30,.279,.360,.664,1.024,81,3,2,1,1,0,player.fcgi?id=lopez-000aug
22,Yomar Carreras#,19,RUT,NCAA,,38,168,154,25,44,6,0,4,34,1,0,11,24,.286,.327,.403,.730,62,1,0,0,3,0,player.fcgi?id=carrer000yom
23,Ryan Cooney,21,UOR,NCAA,,39,193,165,40,64,16,1,8,34,11,2,17,14,.388,.466,.642,1.109,106,0,9,0,2,1,player.fcgi?id=cooney000rya
24,Henry Kaczmar*,23,OSU,NCAA,,38,180,158,36,56,19,0,7,34,6,1,16,34,.354,.425,.608,1.032,96,1,4,1,1,0,player.fcgi?id=kaczma000hen
25,Ty Kaunas?,--,UMD,NCAA,,40,198,159,33,47,13,1,4,34,4,0,34,44,.296,.418,.465,.884,74,2,1,2,2,0,player.fcgi?id=kaunas000ty-
26,Caleb Koskie,21,INU,NCAA,,36,142,119,24,46,9,0,6,34,2,0,13,20,.387,.475,.613,1.089,73,2,8,1,1,0,player.fcgi?id=koskie000cal
27,Colby Turner,21,MIC,NCAA,,38,173,156,40,62,15,0,9,34,7,3,12,21,.397,.451,.667,1.118,104,5,4,0,1,1,player.fcgi?id=turner007col
28,Jordan Crosland,21,UMD,NCAA,,36,164,128,38,40,5,0,8,33,7,2,25,31,.313,.439,.539,.978,69,0,7,0,4,0,player.fcgi?id=crosla000jor
29,Angel Laya*,19,UOR,NCAA,,37,156,133,31,39,5,1,11,33,0,2,15,15,.293,.397,.594,.991,79,4,8,0,0,1,player.fcgi?id=laya--000ang
30,Easton Richter*,22,UMN,NCAA,,38,176,157,42,39,13,2,10,33,16,1,16,40,.248,.326,.548,.873,86,1,2,1,0,0,player.fcgi?id=richte000eas
31,Caleb Wulf*,22,IWA,NCAA,,37,169,149,31,56,9,0,1,33,3,2,11,11,.376,.434,.456,.890,68,6,5,3,1,1,player.fcgi?id=wulf--000cal
32,Ty Allen,22,UMN,NCAA,,37,155,126,24,29,5,3,6,32,5,1,22,33,.230,.342,.460,.802,58,1,2,0,5,0,player.fcgi?id=allen-000ty-
33,Gable Mitchell*,22,IWA,NCAA,,37,181,149,44,58,13,2,5,32,9,4,22,8,.389,.486,.604,1.090,90,2,8,0,2,0,player.fcgi?id=mitche000gab
34,Colton Bower,22,UWA,NCAA,,30,129,111,26,38,7,2,10,31,3,0,10,34,.342,.417,.712,1.129,79,0,5,2,1,0,player.fcgi?id=bower-000col
35,Drew Grego,19,UNL,NCAA,,33,122,107,23,34,7,1,7,31,1,3,9,28,.318,.393,.598,.992,64,2,5,0,1,0,player.fcgi?id=grego-000dre
36,Collin Jennings*,21,UIL,NCAA,,38,172,140,37,35,6,2,10,31,9,0,23,39,.250,.380,.536,.916,75,0,7,1,1,2,player.fcgi?id=jennin000col
37,Charlie Meglio,21,RUT,NCAA,,40,181,151,32,36,6,1,8,31,4,0,22,35,.238,.348,.450,.798,68,5,5,0,3,1,player.fcgi?id=meglio000cha
38,Bryce Molinaro,22,PSU,NCAA,,37,165,141,27,38,4,2,11,31,0,0,20,40,.270,.376,.560,.936,79,4,4,0,0,0,player.fcgi?id=molina003bry
39,CJ Richmond*,22,PUR,NCAA,,39,168,139,31,34,7,0,8,30,4,1,17,46,.245,.363,.468,.831,65,3,10,0,2,0,player.fcgi?id=richmo000cj-
40,Trey Wells,23,RUT,NCAA,,40,184,164,34,51,9,3,4,30,6,1,13,35,.311,.370,.476,.845,78,5,4,0,3,0,player.fcgi?id=wells-003tre
41,Hogan Denny,20,INU,NCAA,,37,178,144,42,49,12,0,10,29,9,1,25,27,.340,.455,.632,1.087,91,1,7,0,2,2,player.fcgi?id=denny-000hog
42,Jackson Hotchkiss,20,UWA,NCAA,,28,131,112,31,38,7,0,12,29,4,1,14,35,.339,.412,.723,1.135,81,1,2,0,3,2,player.fcgi?id=hotchk000jac
43,David Mendez,21,UMD,NCAA,,38,180,154,36,47,7,1,6,29,8,2,14,26,.305,.385,.481,.866,74,2,8,1,3,0,player.fcgi?id=mendez005dav
44,Noah Ruiz,22,NWU,NCAA,,36,155,138,24,42,9,0,6,29,0,1,7,20,.304,.355,.500,.855,69,3,5,3,2,0,player.fcgi?id=ruiz--001noa
45,Jack Zebig*,22,UIL,NCAA,,33,135,104,17,22,3,0,5,29,3,0,22,22,.212,.361,.385,.746,40,2,4,2,3,1,player.fcgi?id=zebig-000jac
46,Alex Bemis,21,OSU,NCAA,,37,163,131,36,37,7,1,7,28,7,3,23,36,.282,.410,.511,.921,67,0,6,2,1,0,player.fcgi?id=bemis-000ale
47,Peyton Bonds,20,RUT,NCAA,,33,158,137,31,49,8,0,6,28,13,2,13,20,.358,.433,.547,.981,75,0,6,1,1,1,player.fcgi?id=bonds-000pey
48,Westin Boyle,19,PUR,NCAA,,39,175,153,29,43,13,2,1,28,6,0,12,33,.281,.351,.412,.763,63,3,5,4,1,0,player.fcgi?id=boyle-000wes
49,Cashel Dugger*,20,ULA,NCAA,,36,155,128,27,36,8,0,4,28,0,0,19,22,.281,.400,.438,.838,56,2,7,0,1,0,player.fcgi?id=dugger000cas
50,Dominic Hellman,22,UOR,NCAA,,33,143,122,20,32,7,0,8,28,0,1,18,36,.262,.371,.516,.887,63,4,3,0,0,1,player.fcgi?id=hellma000dom
51,Will Johannes,22,UIL,NCAA,,25,93,82,18,26,7,0,6,28,1,0,9,33,.317,.398,.622,1.020,51,0,2,0,0,0,player.fcgi?id=johann001wil
52,Adrian Lopez,21,USC,NCAA,,40,174,145,34,43,9,2,5,28,3,1,22,24,.297,.385,.490,.875,71,5,2,0,5,3,player.fcgi?id=lopez-006adr
53,Cooper Malamazian,20,INU,NCAA,,40,178,155,24,48,6,3,4,28,3,2,18,40,.310,.381,.465,.845,72,4,1,2,2,0,player.fcgi?id=malama000joh
54,Brayden Martin*,20,UMD,NCAA,,40,208,159,41,57,9,1,1,28,16,2,39,13,.358,.486,.447,.932,71,4,5,0,5,0,player.fcgi?id=martin024bra
55,Paul Jones*,20,UMD,NCAA,,38,167,139,23,42,11,0,4,27,2,1,17,36,.302,.392,.468,.859,65,2,6,1,4,1,player.fcgi?id=jones-015pau
56,Ryan Kucherak,21,NWU,NCAA,,36,164,141,30,40,7,0,8,27,6,1,17,41,.284,.368,.504,.872,71,0,3,1,2,1,player.fcgi?id=kucher000rya
57,Kooper Schulte,22,IWA,NCAA,,37,168,143,31,43,14,1,5,27,9,1,14,30,.301,.377,.517,.895,74,4,6,1,4,1,player.fcgi?id=schult000koo
58,Jack Spanier,21,UMN,NCAA,,37,185,145,43,47,12,4,4,27,13,2,35,23,.324,.464,.545,1.009,79,1,3,2,0,0,player.fcgi?id=spanie000jac
59,Dean West*,21,ULA,NCAA,,39,205,155,43,44,9,0,3,27,8,1,28,23,.284,.443,.400,.843,62,0,18,2,2,0,player.fcgi?id=west--000dea
60,Eli Anderson*,22,PUR,NCAA,,39,162,142,33,49,9,1,1,26,16,5,12,20,.345,.396,.444,.840,63,2,2,3,3,0,player.fcgi?id=anders002eli
61,Noah Furcht,23,OSU,NCAA,,38,177,143,30,43,9,1,7,26,6,1,21,36,.301,.423,.524,.947,75,0,10,2,1,0,player.fcgi?id=furcht000noa
62,Brayden Jefferis*,20,MIC,NCAA,,39,173,144,20,45,6,2,1,26,6,3,18,18,.313,.415,.403,.818,58,1,8,2,1,0,player.fcgi?id=jeffer001bra
63,Owen McElfatrick,22,NWU,NCAA,,36,160,140,22,31,7,1,7,26,1,1,18,39,.221,.313,.436,.748,61,3,1,0,1,0,player.fcgi?id=mcelfa000owe
64,Maddox Molony,21,UOR,NCAA,,39,171,139,32,36,8,0,8,26,2,0,17,23,.259,.376,.489,.866,68,1,11,1,3,1,player.fcgi?id=molony000mad
65,Joey Nerat*,22,IWA,NCAA,,37,147,119,25,37,12,4,3,26,15,0,20,36,.311,.432,.555,.986,66,0,6,1,1,0,player.fcgi?id=nerat-000joe
66,Sam DeCarlo,22,UWA,NCAA,,38,164,136,29,41,10,2,5,25,8,1,25,28,.301,.415,.515,.929,70,3,2,0,1,1,player.fcgi?id=decarl000sam
67,Davis Hamilton*,22,UMN,NCAA,,39,172,130,32,38,11,0,4,25,9,5,31,20,.292,.453,.469,.923,61,1,9,0,2,1,player.fcgi?id=hamilt005dav
68,Brandon Rogers,22,PUR,NCAA,,28,99,84,22,31,6,1,5,25,6,1,9,16,.369,.448,.643,1.091,54,0,3,3,0,1,player.fcgi?id=rogers005bra
69,Nick Barron?,--,NWU,NCAA,,36,149,133,24,36,9,0,6,24,0,0,12,21,.271,.336,.474,.809,63,1,2,0,2,0,player.fcgi?id=barron001nic
70,Dylan Drake*,21,PUR,NCAA,,34,134,111,29,39,8,2,5,24,2,1,11,33,.351,.439,.595,1.034,66,1,8,2,2,0,player.fcgi?id=drake-000dyl
71,Aaron Manias*,22,PUR,NCAA,,35,133,102,29,37,8,0,5,24,1,2,14,22,.363,.496,.588,1.084,60,2,15,0,2,0,player.fcgi?id=manias000aar
72,Mac Moyer*,22,UNL,NCAA,,40,192,159,47,63,10,1,3,24,4,3,28,18,.396,.492,.528,1.020,84,2,3,1,1,1,player.fcgi?id=moyer-000mcc
73,Ryan Jaros,21,RUT,NCAA,,40,159,132,24,38,8,1,4,23,4,1,13,35,.288,.374,.455,.829,60,6,7,4,3,0,player.fcgi?id=jaros-000rya
74,Jack Lausch*,22,NWU,NCAA,,36,163,138,31,40,12,2,8,23,6,2,18,49,.290,.380,.580,.960,80,0,4,0,3,1,player.fcgi?id=lausch000jac
75,Rylen Stockton,--,UMD,NCAA,,38,162,129,26,38,7,0,7,23,0,0,20,32,.295,.416,.512,.928,66,2,9,1,3,0,player.fcgi?id=stockt000ryl
76,Isaac Sturgess*,--,MSU,NCAA,,36,146,129,25,42,10,1,3,23,3,3,11,24,.326,.384,.488,.872,63,2,3,0,3,0,player.fcgi?id=sturge000isa
77,Jax Gimenez#,20,UOR,NCAA,,39,188,137,39,40,10,3,3,22,7,0,29,23,.292,.470,.474,.945,65,1,18,3,1,1,player.fcgi?id=gimene000jax
78,Andrew Lamb*,21,USC,NCAA,,33,121,96,23,24,3,1,7,22,1,0,14,17,.250,.378,.521,.899,50,0,7,2,2,0,player.fcgi?id=lamb--000and
79,Brayden Ricketts*,20,INU,NCAA,,40,171,139,21,34,6,0,8,22,0,0,21,32,.245,.373,.460,.833,64,1,8,2,1,0,player.fcgi?id=ricket000bra
80,Matt Chatelle,22,RUT,NCAA,,31,137,113,23,37,4,0,1,21,0,1,20,30,.327,.430,.389,.819,44,2,1,2,1,0,player.fcgi?id=chatel000mat
81,CJ Deckinga,--,MSU,NCAA,,33,124,110,19,25,6,0,5,21,3,0,11,28,.227,.315,.418,.733,46,0,3,0,0,0,player.fcgi?id=deckin000cj-
82,Danny Porras*,--,UWA,NCAA,,29,126,110,22,32,8,0,6,21,3,3,9,31,.291,.352,.527,.880,58,0,2,4,1,0,player.fcgi?id=porras001dan
83,Jackson Bessette,22,PUR,NCAA,,35,124,96,22,22,3,0,3,20,1,1,19,14,.229,.367,.354,.721,34,4,3,4,2,0,player.fcgi?id=besset000jac
84,Evan Haeger*,21,MIC,NCAA,,35,122,98,20,29,6,2,4,20,4,5,19,35,.296,.415,.520,.936,51,1,1,4,0,0,player.fcgi?id=haeger000eva
85,Cade Ladehoff,21,MIC,NCAA,,35,137,111,15,27,7,1,3,20,0,0,17,25,.243,.353,.405,.758,45,3,4,1,4,1,player.fcgi?id=ladeho000cad
86,Burke-Lee Mabeus#,21,UOR,NCAA,,34,112,102,24,30,8,0,4,20,1,1,7,22,.294,.357,.490,.847,50,2,3,0,0,0,player.fcgi?id=mabeus000bur
87,J.R. Nelson,21,UIL,NCAA,,36,136,97,22,23,5,0,2,20,2,0,28,16,.237,.421,.351,.772,34,2,5,3,3,0,player.fcgi?id=nelson000jr-
88,Jack Porter,22,PSU,NCAA,,35,154,134,27,42,12,0,4,20,0,0,10,14,.313,.377,.493,.869,66,4,6,0,4,1,player.fcgi?id=porter003jac
89,Jay Slater,20,NWU,NCAA,,31,116,103,14,23,4,1,5,20,0,0,8,19,.223,.304,.427,.732,44,4,4,1,0,0,player.fcgi?id=slater000jay
90,Kellen Strohmeyer*,22,IWA,NCAA,,36,142,126,26,39,8,2,1,20,16,0,14,24,.310,.380,.429,.809,54,5,1,0,1,0,player.fcgi?id=strohm000kel
91,Miles Vandenheuvel,21,OSU,NCAA,,38,162,129,26,28,3,1,3,20,9,2,21,36,.217,.365,.326,.690,42,2,9,3,0,0,player.fcgi?id=vanden000mil
92,Jack Basseer,22,USC,NCAA,,31,107,93,21,31,8,1,5,19,0,0,7,18,.333,.415,.602,1.017,56,0,6,1,0,1,player.fcgi?id=basser000jac
93,Jack Brooks*,22,UOR,NCAA,,36,123,96,19,25,4,1,5,19,12,2,18,27,.260,.403,.479,.883,46,0,5,4,0,0,player.fcgi?id=brooks003jac
94,Cole Decker*,20,INU,NCAA,,38,146,116,19,37,4,0,4,19,4,1,20,24,.319,.430,.457,.886,53,1,4,4,2,0,player.fcgi?id=decker001col
95,Lee Ellis,21,OSU,NCAA,,31,147,116,26,29,10,2,5,19,14,2,12,43,.250,.378,.500,.878,58,1,13,4,2,0,player.fcgi?id=ellis-002lee
96,Michael Farina,--,UIL,NCAA,,38,186,147,33,42,11,0,3,19,7,1,21,23,.286,.413,.422,.835,62,1,13,2,3,0,player.fcgi?id=farina000mic
97,Nick Groves*,22,UIL,NCAA,,37,183,144,33,47,8,3,1,19,11,4,29,22,.326,.456,.444,.900,64,3,6,3,1,1,player.fcgi?id=groves000nic
98,Brayden Jaksa,19,UOR,NCAA,,27,96,83,22,29,3,1,6,19,4,2,9,18,.349,.427,.627,1.054,52,0,3,0,1,0,player.fcgi?id=jaksa-000bra
99,Will Moore*,21,INU,NCAA,,38,171,132,34,33,5,0,3,19,3,1,27,37,.250,.418,.356,.774,47,1,11,1,0,0,player.fcgi?id=moore-040wil
100,Josh Overbeek#,23,UNL,NCAA,,36,162,128,27,33,7,2,3,19,2,1,18,31,.258,.404,.414,.818,53,2,14,1,1,0,player.fcgi?id=overbe000jos
