Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Pryce Sandfort,F,35,35,1175,217,453,.479,129,310,.416,88,143,.615,.621,71,83,.855,22,148,170,70,36,9,24,59,634,,pryce-sandfort-1
2,Rienk Mast,F,34,34,993,169,382,.442,50,161,.311,119,221,.538,.508,65,79,.823,77,119,196,105,14,10,57,60,453,,rienk-mast-1
3,Braden Frager,F,33,2,779,134,275,.487,57,162,.352,77,113,.681,.591,66,82,.805,32,92,124,34,24,2,34,42,391,,braden-frager-1
4,Jamarques Lawrence,G,35,35,979,114,271,.421,55,155,.355,59,116,.509,.522,59,78,.756,11,72,83,133,31,1,69,83,342,,jamarques-lawrence-1
5,Sam Hoiberg,G,35,35,1132,124,229,.541,32,84,.381,92,145,.634,.611,45,60,.750,33,151,184,157,70,3,42,89,325,,sam-hoiberg-1
6,Berke Buyuktuncel,F,33,33,802,81,173,.468,13,54,.241,68,119,.571,.506,41,67,.612,60,124,184,62,29,34,38,59,216,,berke-buyuktuncel-1
7,Cale Jacobsen,G,35,1,690,61,117,.521,15,41,.366,46,76,.605,.585,25,42,.595,18,83,101,46,34,11,22,63,162,,cale-jacobsen-1
8,Jared Garcia,F,28,0,233,26,79,.329,10,41,.244,16,38,.421,.392,21,27,.778,10,50,60,9,5,14,20,20,83,,jared-garcia-1
9,Connor Essegian,G,7,0,98,14,44,.318,8,31,.258,6,13,.462,.409,2,4,.500,2,7,9,6,2,0,5,6,38,,connor-essegian-1
10,Leo Curtis,F,17,0,67,10,17,.588,0,3,.000,10,14,.714,.588,7,8,.875,7,2,9,4,3,1,5,8,27,,leo-curtis-1
11,Kendall Blue,G,19,0,66,4,13,.308,3,8,.375,1,5,.200,.423,2,2,1.000,1,5,6,4,1,0,7,6,13,,kendall-blue-1
12,Ugnius Jarusevicius,F,1,0,11,3,3,1.000,1,1,1.000,2,2,1.000,1.167,0,1,.000,0,2,2,0,0,2,2,1,7,,ugnius-jarusevicius-1
13,Justin Bolis,F,17,0,26,0,3,.000,0,1,.000,0,2,.000,.000,3,6,.500,0,5,5,1,1,1,0,3,3,,justin-bolis-1